card_code,card_name,offer_url
"ra05-en148","Mirrorjade the Iceblade Dragon (extended art)","https://mypcards.com/yugioh/produto/318775/mirrorjade-the-iceblade-dragon-extended-art"
"ra05-en141","Red-Eyes Dark Dragoon (extended art)","https://mypcards.com/yugioh/produto/318770/red-eyes-dark-dragoon-extended-art"
"ra05-en149","Super Polymerization (extended art)","https://mypcards.com/yugioh/produto/320882/super-polymerization-extended-art"
"ra05-en142","Wake Up Your Elemental HERO (extended art)","https://mypcards.com/yugioh/produto/318771/wake-up-your-elemental-hero-extended-art"
"ra05-en146","Firewall Dragon Singularity (extended art)","https://mypcards.com/yugioh/produto/320881/firewall-dragon-singularity-extended-art"
